Título,Autor,Año,Grado
Ensayo clínico aleatorizado de terapia antioxidante en pacientes críticos con choque séptico y análisis pre y post tratamiento del estrés oxidante,"Aisa Álvarez, Alfredo",2020,Maestría en Ciencias Médicas
"Centro Escolar de Artes Circenses, Tlaxpana, Miguel Hidalgo, Ciudad de México","Aispuro Amaya, Esteban",2020,Licenciatura en Arquitectura
Actitud y conocimiento en materia de donación de órganos y tejidos con fines de trasplante en el personal de enfermería del Hospital General Las Américas,"Aja Pioquinto, Maribel Laura",2020,Licenciatura en Enfermería
Neurotropismo como factor pronóstico de recurrencia local en melanoma cutáneo,"Ajiz Payán, Vilma Adriana",2020,Especialidad en Medicina (Dermatología)
Expresión de genes asociados a apoptosis y autofagia en injertos renales con toxicidad por inhibidores de calcineurina,"Alamilla Sánchez, Mario Eduardo",2020,Maestría en Ciencias Médicas
Actividad fitotóxica de los extractos orgánicos y metabolitos secundarios mayoritarios del hongo endófito Hypoxylon anthochroum aislamiento GSEG1,"Alanis Díaz, Carlos Israel",2020,Licenciatura en Química Farmacéutico Biológica
"Ammonoideos del Pérmico medio (Guadalupiano) de las localidades Las Manuelas I y Las Difuntas-18 de Coahuila, México consideraciones estratigráficas","Alanis Pavón, Alberto",2020,Maestría en Ciencias del Mar y Limnología
Las repercusiones económicas y sociales del tráfico ilícito de marcas y productos falsificados (marcas notoriamente reconocidas) en Estados Unidos provenientes de China del 2008 al 2015,"Alarcón Alva, Brenda Michelle",2020,Licenciatura en Relaciones Internacionales
Metaevaluación de los programas sociales enfocados a la reducción de la pobreza : el caso Prospera,"Alarcón Cruz, Xóchitl",2020,Maestría en Ingeniería de Sistemas
Prevalencia de tuberculosis pulmonar en pacientes ingresados al servicio de urgencias con diagnóstico de neumonía de la comunidad en el Hospital General Raymundo Abarca Alarcón en el año 2019,"Alarcón Domínguez, Antonio",2020,Especialidad en Medicina (Medicina Familiar)
Estudios de reconocimiento molecular de amidas derivadas del ácido cinámico y fenil acético y su posible blanco biológico (apoptosis),"Alarcón López, Aldo Yoshio",2020,Maestría en Ciencias Químicas
Comparación de la inducción de trabajo de parto a las 40 y 41 semanas,"Alarcón López, Julio Cesar",2020,Especialidad en Medicina (Ginecología y Obstetricia)
Disciplina y reglamento escolar : una aproximación desde Foucault,"Alarcón Rogel, María Teresa",2020,Licenciatura en Pedagogía
